score,quality,finalscore
87.956521,28.4,89.9695647
87.04,28.99,89.918
85.8,28.28,88.34
87.130434,26.3,87.2913038
80.541666,30.3,86.6791662
82.913043,28.32,86.3591301
80.76,29.17,85.702
83.782608,26.92,85.5678256
86.826086,24.07,84.8482602
80.826086,28.27,84.8482602
80.84,28,84.588
81.695652,27.31,84.4969564
80.24,28.13,84.298
82.307692,26.67,84.2853844
80.296296,28.07,84.2774072
79.043478,28.81,84.1404346
79.08,28.51,83.866
78.652173,28.76,83.8165211
77.391304,29.05,83.2239128
