score,quality,finalscore
92.84,28.88,93.868
93.407407,27.27,92.6551849
91.12,28.77,92.554
88.48,29.04,90.976
88.44,29.06,90.968
87.481481,29.44,90.6770367
86.962962,29.32,90.1940734
87.185185,29.06,90.0896295
86.76,29.12,89.852
87.6,28.5,89.82
86.962962,28.68,89.5540734
86.962962,28.67,89.5440734
87.24,28.45,89.518
88.36,27.56,89.412
85.2,29.61,89.25
85.76,29.19,89.222
85.12,29.38,88.964
85.48,28.51,88.346
83.12,29.45,87.634
84.407407,28.54,87.6251849
85.68,27.61,87.586
84.44,28.46,87.568
83.92,28.71,87.454
89.92,24.37,87.314
84,28.36,87.16
83.56,28.52,87.012
83.28,28.63,86.926
82.888888,28.83,86.8522216
82.56,28.98,86.772
81.64,29.55,86.698
82.259259,29.02,86.6014813
81.518518,29.36,86.4229626
83.222222,28.03,86.2855554
82.08,28.79,86.246
82.862068,28.19,86.1934476
83.64,27.38,85.928
85.92,25.75,85.894
