score,quality,finalscore
94.136363,30.92,96.8154541
93,30.49,95.59
92.642857,29.4,94.2499999
89.25,31.42,93.895
90.695652,29.66,93.1469564
91.26923,29.1,92.988461
91.12,28.97,92.754
90.958333,29.05,92.7208331
91,28.32,92.02
90.038461,28.83,91.8569227
88.875,29.59,91.8025
89.208333,29.33,91.7758331
90.178571,28.4,91.5249997
90.107142,28.26,91.3349994
86.227272,30.85,91.2090904
87.633333,29.83,91.1733331
86.416666,30.66,91.1516662
87.433333,29.46,90.6633331
88.321428,28.49,90.3149996
87.518518,28.89,90.1529626
87.838235,28.23,89.7167645
84.833333,30.33,89.7133331
82.884615,31.64,89.6592305
85.76,29.61,89.642
87.807692,27.96,89.4253844
87.04,28.4,89.328
85.629629,29.26,89.2007403
86.038461,28.85,89.0769227
86.761904,28.32,89.0533328
85.576923,28.95,88.8538461
84.225806,29.77,88.7280642
87.4,27.39,88.57
83.857142,29.82,88.5199994
84.653846,29.24,88.4976922
88.166666,26.78,88.4966662
84.181818,29.27,88.1972726
87.181818,27,88.0272726
84.633333,28.76,88.0033331
84.4,28.32,87.4
91.125,23.58,87.3675
84.038461,28.4,87.2269227
86.55,26.49,87.075
82.576923,29.21,87.0138461
82.516129,29.22,86.9812903
83.333333,28.63,86.9633331
83.241379,28.54,86.8089653
84.423076,27.6,86.6961532
83.285714,28.17,86.4699998
81.727272,28.67,85.8790904
81.576923,28.6,85.7038461
81,28.84,85.54
87.423076,24.29,85.4861532
79.961538,29.49,85.4630766
81.16,28.56,85.372
81.833333,27.95,85.2333331
84.884615,25.81,85.2292305
83.772727,26.58,85.2209089
80.777777,28.67,85.2144439
80.5,28.71,85.06
83.307692,26.67,84.9853844
81.76923,27.7,84.938461
82.083333,27.33,84.7883331
80.689655,28.29,84.7727585
77.1,30.8,84.77
78.882352,28.88,84.0976464
77.8,29.36,83.82
78.541666,28.61,83.5891662
86.107142,22.98,83.2549994
78.136363,28.44,83.1354541
83.307692,24.64,82.9553844
83.846153,24.12,82.8123071
77.615384,28.34,82.6707688
85.916666,22.38,82.5216662
76.111111,28.93,82.2077777
79.708333,26.38,82.1758331
78.423076,27.15,82.0461532
89.636363,19.02,81.7654541
78.260869,26.84,81.6226083
75.857142,28.41,81.5099994
82.4,23.82,81.5
76.038461,28.23,81.4569227
