quality,num_of_activity
29.9,25
29.05,16
29.43,14
29.71,18
28.99,19
29.02,11
29.39,14
28.22,11
29.49,11
28.52,14
29.46,13
29.82,16
28.55,10
27.08,8
28.22,11
29.91,15
28.99,20
29.06,11
27.08,7
29.78,19
28.73,13
28.73,11
28.99,9
28.85,14
29.12,10
28.61,14
29.35,12
29.19,21
27.14,10
28.16,9
26.84,7
29.22,11
