quality,num_of_activity
28.4,10
28.99,10
28.28,8
26.3,7
30.3,20
28.32,6
29.17,14
26.92,9
24.07,7
28.27,10
28,11
27.31,11
28.13,9
26.67,6
28.07,10
28.81,14
28.51,8
28.76,16
29.05,13
