quality,num_of_activity
28.88,10
27.27,9
28.77,11
29.04,24
29.06,12
29.44,13
29.32,12
29.06,11
29.12,17
28.5,9
28.68,12
28.67,15
28.45,13
27.56,12
29.61,19
29.19,11
29.38,13
28.51,9
29.45,20
28.54,11
27.61,13
28.46,12
28.71,13
24.37,8
28.36,9
28.52,11
28.63,8
28.83,11
28.98,18
29.55,17
29.02,20
29.36,13
28.03,9
28.79,12
28.19,10
27.38,9
25.75,7
