quality,num_of_activity
27.81,10
28.52,13
28.85,11
28.23,9
29.13,22
28.55,10
30.24,14
28.53,20
28.65,9
27.92,7
29.25,17
29.79,18
28.38,7
25.55,9
29.37,25
28.88,29
29.51,14
28.82,10
27.69,6
24.29,9
27.6,8
28,14
25.94,10
28.29,11
27.9,13
27.89,9
28.96,12
29.98,11
28.14,11
27.98,8
28.03,8
28.18,14
27.89,8
27.83,8
28.18,12
27.77,11
27.9,7
